1	00000000000000000000000000000001
3	00000000000000000000000000000011
6	00000000000000000000000000000110
10	00000000000000000000000000001010
15	00000000000000000000000000001111
21	00000000000000000000000000010101
28	00000000000000000000000000011100
36	00000000000000000000000000100100
45	00000000000000000000000000101101
55	00000000000000000000000000110111
66	00000000000000000000000001000010
78	00000000000000000000000001001110
91	00000000000000000000000001011011
105	00000000000000000000000001101001
120	00000000000000000000000001111000
136	00000000000000000000000010001000
153	00000000000000000000000010011001
171	00000000000000000000000010101011
190	00000000000000000000000010111110
210	00000000000000000000000011010010
231	00000000000000000000000011100111
253	00000000000000000000000011111101
276	00000000000000000000000100010100
300	00000000000000000000000100101100
325	00000000000000000000000101000101
351	00000000000000000000000101011111
378	00000000000000000000000101111010
406	00000000000000000000000110010110
435	00000000000000000000000110110011
465	00000000000000000000000111010001
496	00000000000000000000000111110000
528	00000000000000000000001000010000
561	00000000000000000000001000110001
595	00000000000000000000001001010011
630	00000000000000000000001001110110
666	00000000000000000000001010011010
703	00000000000000000000001010111111
741	00000000000000000000001011100101
780	00000000000000000000001100001100
820	00000000000000000000001100110100
861	00000000000000000000001101011101
903	00000000000000000000001110000111
946	00000000000000000000001110110010
990	00000000000000000000001111011110
1035	00000000000000000000010000001011
1081	00000000000000000000010000111001
1128	00000000000000000000010001101000
1176	00000000000000000000010010011000
1225	00000000000000000000010011001001
1275	00000000000000000000010011111011
1326	00000000000000000000010100101110
1378	00000000000000000000010101100010
1431	00000000000000000000010110010111
1485	00000000000000000000010111001101
1540	00000000000000000000011000000100
1596	00000000000000000000011000111100
1653	00000000000000000000011001110101
1711	00000000000000000000011010101111
1770	00000000000000000000011011101010
1830	00000000000000000000011100100110
1891	00000000000000000000011101100011
1953	00000000000000000000011110100001
2016	00000000000000000000011111100000
2080	00000000000000000000100000100000
2145	00000000000000000000100001100001
2211	00000000000000000000100010100011
2278	00000000000000000000100011100110
2346	00000000000000000000100100101010
2415	00000000000000000000100101101111
2485	00000000000000000000100110110101
2556	00000000000000000000100111111100
2628	00000000000000000000101001000100
2701	00000000000000000000101010001101
2775	00000000000000000000101011010111
2850	00000000000000000000101100100010
2926	00000000000000000000101101101110
3003	00000000000000000000101110111011
3081	00000000000000000000110000001001
3160	00000000000000000000110001011000
3240	00000000000000000000110010101000
3321	00000000000000000000110011111001
3403	00000000000000000000110101001011
3486	00000000000000000000110110011110
3570	00000000000000000000110111110010
3655	00000000000000000000111001000111
3741	00000000000000000000111010011101
3828	00000000000000000000111011110100
3916	00000000000000000000111101001100
4005	00000000000000000000111110100101
4095	00000000000000000000111111111111
4186	00000000000000000001000001011010
4278	00000000000000000001000010110110
4371	00000000000000000001000100010011
4465	00000000000000000001000101110001
4560	00000000000000000001000111010000
4656	00000000000000000001001000110000
4753	00000000000000000001001010010001
4851	00000000000000000001001011110011
4950	00000000000000000001001101010110
5050	00000000000000000001001110111010
5151	00000000000000000001010000011111
5253	00000000000000000001010010000101
5356	00000000000000000001010011101100
5460	00000000000000000001010101010100
5565	00000000000000000001010110111101
5671	00000000000000000001011000100111
5778	00000000000000000001011010010010
5886	00000000000000000001011011111110
5995	00000000000000000001011101101011
6105	00000000000000000001011111011001
6216	00000000000000000001100001001000
6328	00000000000000000001100010111000
6441	00000000000000000001100100101001
6555	00000000000000000001100110011011
6670	00000000000000000001101000001110
6786	00000000000000000001101010000010
6903	00000000000000000001101011110111
